candidate_id,candidate_name,profile_id,profile_name,member,context_tokens,capacity_gib,weight_plan_gib,kv_q8_plan_gib,reserve_os_gib,reserve_runtime_gib,reserve_skew_gib,total_plan_gib,margin_gib,utilization,fit
qwen3-235b-a22b-2507,Qwen3-235B-A22B-Instruct-2507,uma-256-single,Single 256 GiB unified-memory host,host,65536,256.0,190.0,6.25,12.0,8.0,4.0,220.25,35.75,0.8603515625,True
qwen3-235b-a22b-2507,Qwen3-235B-A22B-Instruct-2507,rpc-2x128-uma,Two 128 GiB UMA RPC nodes,coordinator,65536,128.0,95.0,3.25,10.0,6.0,4.0,118.25,9.75,0.923828125,True
qwen3-235b-a22b-2507,Qwen3-235B-A22B-Instruct-2507,rpc-2x128-uma,Two 128 GiB UMA RPC nodes,worker,65536,128.0,95.0,3.0,8.0,6.0,4.0,116.0,12.0,0.90625,True
qwen3-235b-a22b-2507,Qwen3-235B-A22B-Instruct-2507,local-3x96-gpu,"One host, 3 × 96 GiB accelerators",gpu0,65536,96.0,63.5,2.25,0.0,6.0,2.0,73.75,22.25,0.7682291666666666,True
qwen3-235b-a22b-2507,Qwen3-235B-A22B-Instruct-2507,local-3x96-gpu,"One host, 3 × 96 GiB accelerators",gpu1,65536,96.0,63.25,2.0,0.0,4.0,2.0,71.25,24.75,0.7421875,True
qwen3-235b-a22b-2507,Qwen3-235B-A22B-Instruct-2507,local-3x96-gpu,"One host, 3 × 96 GiB accelerators",gpu2,65536,96.0,63.25,2.0,0.0,4.0,2.0,71.25,24.75,0.7421875,True
qwen3-235b-a22b-2507,Qwen3-235B-A22B-Instruct-2507,local-4x64-gpu,"One host, 4 × 64 GiB accelerators",gpu0,65536,64.0,47.5,1.75,0.0,6.0,2.0,57.25,6.75,0.89453125,True
qwen3-235b-a22b-2507,Qwen3-235B-A22B-Instruct-2507,local-4x64-gpu,"One host, 4 × 64 GiB accelerators",gpu1,65536,64.0,47.5,1.5,0.0,4.0,2.0,55.0,9.0,0.859375,True
qwen3-235b-a22b-2507,Qwen3-235B-A22B-Instruct-2507,local-4x64-gpu,"One host, 4 × 64 GiB accelerators",gpu2,65536,64.0,47.5,1.5,0.0,4.0,2.0,55.0,9.0,0.859375,True
qwen3-235b-a22b-2507,Qwen3-235B-A22B-Instruct-2507,local-4x64-gpu,"One host, 4 × 64 GiB accelerators",gpu3,65536,64.0,47.5,1.5,0.0,4.0,2.0,55.0,9.0,0.859375,True
qwen3-235b-a22b-2507,Qwen3-235B-A22B-Instruct-2507,uma-256-single,Single 256 GiB unified-memory host,host,131072,256.0,190.0,12.5,12.0,8.0,4.0,226.5,29.5,0.884765625,True
qwen3-235b-a22b-2507,Qwen3-235B-A22B-Instruct-2507,rpc-2x128-uma,Two 128 GiB UMA RPC nodes,coordinator,131072,128.0,95.0,6.25,10.0,6.0,4.0,121.25,6.75,0.947265625,True
qwen3-235b-a22b-2507,Qwen3-235B-A22B-Instruct-2507,rpc-2x128-uma,Two 128 GiB UMA RPC nodes,worker,131072,128.0,95.0,6.25,8.0,6.0,4.0,119.25,8.75,0.931640625,True
qwen3-235b-a22b-2507,Qwen3-235B-A22B-Instruct-2507,local-3x96-gpu,"One host, 3 × 96 GiB accelerators",gpu0,131072,96.0,63.5,4.25,0.0,6.0,2.0,75.75,20.25,0.7890625,True
qwen3-235b-a22b-2507,Qwen3-235B-A22B-Instruct-2507,local-3x96-gpu,"One host, 3 × 96 GiB accelerators",gpu1,131072,96.0,63.25,4.25,0.0,4.0,2.0,73.5,22.5,0.765625,True
qwen3-235b-a22b-2507,Qwen3-235B-A22B-Instruct-2507,local-3x96-gpu,"One host, 3 × 96 GiB accelerators",gpu2,131072,96.0,63.25,4.0,0.0,4.0,2.0,73.25,22.75,0.7630208333333334,True
qwen3-235b-a22b-2507,Qwen3-235B-A22B-Instruct-2507,local-4x64-gpu,"One host, 4 × 64 GiB accelerators",gpu0,131072,64.0,47.5,3.25,0.0,6.0,2.0,58.75,5.25,0.91796875,True
qwen3-235b-a22b-2507,Qwen3-235B-A22B-Instruct-2507,local-4x64-gpu,"One host, 4 × 64 GiB accelerators",gpu1,131072,64.0,47.5,3.25,0.0,4.0,2.0,56.75,7.25,0.88671875,True
qwen3-235b-a22b-2507,Qwen3-235B-A22B-Instruct-2507,local-4x64-gpu,"One host, 4 × 64 GiB accelerators",gpu2,131072,64.0,47.5,3.0,0.0,4.0,2.0,56.5,7.5,0.8828125,True
qwen3-235b-a22b-2507,Qwen3-235B-A22B-Instruct-2507,local-4x64-gpu,"One host, 4 × 64 GiB accelerators",gpu3,131072,64.0,47.5,3.0,0.0,4.0,2.0,56.5,7.5,0.8828125,True
qwen3-235b-a22b-2507,Qwen3-235B-A22B-Instruct-2507,uma-256-single,Single 256 GiB unified-memory host,host,262144,256.0,190.0,25.0,12.0,8.0,4.0,239.0,17.0,0.93359375,True
qwen3-235b-a22b-2507,Qwen3-235B-A22B-Instruct-2507,rpc-2x128-uma,Two 128 GiB UMA RPC nodes,coordinator,262144,128.0,95.0,12.5,10.0,6.0,4.0,127.5,0.5,0.99609375,True
qwen3-235b-a22b-2507,Qwen3-235B-A22B-Instruct-2507,rpc-2x128-uma,Two 128 GiB UMA RPC nodes,worker,262144,128.0,95.0,12.5,8.0,6.0,4.0,125.5,2.5,0.98046875,True
qwen3-235b-a22b-2507,Qwen3-235B-A22B-Instruct-2507,local-3x96-gpu,"One host, 3 × 96 GiB accelerators",gpu0,262144,96.0,63.5,8.5,0.0,6.0,2.0,80.0,16.0,0.8333333333333334,True
qwen3-235b-a22b-2507,Qwen3-235B-A22B-Instruct-2507,local-3x96-gpu,"One host, 3 × 96 GiB accelerators",gpu1,262144,96.0,63.25,8.25,0.0,4.0,2.0,77.5,18.5,0.8072916666666666,True
qwen3-235b-a22b-2507,Qwen3-235B-A22B-Instruct-2507,local-3x96-gpu,"One host, 3 × 96 GiB accelerators",gpu2,262144,96.0,63.25,8.25,0.0,4.0,2.0,77.5,18.5,0.8072916666666666,True
qwen3-235b-a22b-2507,Qwen3-235B-A22B-Instruct-2507,local-4x64-gpu,"One host, 4 × 64 GiB accelerators",gpu0,262144,64.0,47.5,6.25,0.0,6.0,2.0,61.75,2.25,0.96484375,True
qwen3-235b-a22b-2507,Qwen3-235B-A22B-Instruct-2507,local-4x64-gpu,"One host, 4 × 64 GiB accelerators",gpu1,262144,64.0,47.5,6.25,0.0,4.0,2.0,59.75,4.25,0.93359375,True
qwen3-235b-a22b-2507,Qwen3-235B-A22B-Instruct-2507,local-4x64-gpu,"One host, 4 × 64 GiB accelerators",gpu2,262144,64.0,47.5,6.25,0.0,4.0,2.0,59.75,4.25,0.93359375,True
qwen3-235b-a22b-2507,Qwen3-235B-A22B-Instruct-2507,local-4x64-gpu,"One host, 4 × 64 GiB accelerators",gpu3,262144,64.0,47.5,6.25,0.0,4.0,2.0,59.75,4.25,0.93359375,True
step-3.7-flash,Step-3.7-Flash,uma-256-single,Single 256 GiB unified-memory host,host,32768,256.0,196.0,1.0,12.0,8.0,4.0,221.0,35.0,0.86328125,True
step-3.7-flash,Step-3.7-Flash,rpc-2x128-uma,Two 128 GiB UMA RPC nodes,coordinator,32768,128.0,98.0,0.5,10.0,6.0,4.0,118.5,9.5,0.92578125,True
step-3.7-flash,Step-3.7-Flash,rpc-2x128-uma,Two 128 GiB UMA RPC nodes,worker,32768,128.0,98.0,0.5,8.0,6.0,4.0,116.5,11.5,0.91015625,True
step-3.7-flash,Step-3.7-Flash,local-3x96-gpu,"One host, 3 × 96 GiB accelerators",gpu0,32768,96.0,65.5,0.5,0.0,6.0,2.0,74.0,22.0,0.7708333333333334,True
step-3.7-flash,Step-3.7-Flash,local-3x96-gpu,"One host, 3 × 96 GiB accelerators",gpu1,32768,96.0,65.25,0.25,0.0,4.0,2.0,71.5,24.5,0.7447916666666666,True
step-3.7-flash,Step-3.7-Flash,local-3x96-gpu,"One host, 3 × 96 GiB accelerators",gpu2,32768,96.0,65.25,0.25,0.0,4.0,2.0,71.5,24.5,0.7447916666666666,True
step-3.7-flash,Step-3.7-Flash,local-4x64-gpu,"One host, 4 × 64 GiB accelerators",gpu0,32768,64.0,49.0,0.25,0.0,6.0,2.0,57.25,6.75,0.89453125,True
step-3.7-flash,Step-3.7-Flash,local-4x64-gpu,"One host, 4 × 64 GiB accelerators",gpu1,32768,64.0,49.0,0.25,0.0,4.0,2.0,55.25,8.75,0.86328125,True
step-3.7-flash,Step-3.7-Flash,local-4x64-gpu,"One host, 4 × 64 GiB accelerators",gpu2,32768,64.0,49.0,0.25,0.0,4.0,2.0,55.25,8.75,0.86328125,True
step-3.7-flash,Step-3.7-Flash,local-4x64-gpu,"One host, 4 × 64 GiB accelerators",gpu3,32768,64.0,49.0,0.25,0.0,4.0,2.0,55.25,8.75,0.86328125,True
step-3.7-flash,Step-3.7-Flash,uma-256-single,Single 256 GiB unified-memory host,host,65536,256.0,196.0,1.75,12.0,8.0,4.0,221.75,34.25,0.8662109375,True
step-3.7-flash,Step-3.7-Flash,rpc-2x128-uma,Two 128 GiB UMA RPC nodes,coordinator,65536,128.0,98.0,1.0,10.0,6.0,4.0,119.0,9.0,0.9296875,True
step-3.7-flash,Step-3.7-Flash,rpc-2x128-uma,Two 128 GiB UMA RPC nodes,worker,65536,128.0,98.0,0.75,8.0,6.0,4.0,116.75,11.25,0.912109375,True
step-3.7-flash,Step-3.7-Flash,local-3x96-gpu,"One host, 3 × 96 GiB accelerators",gpu0,65536,96.0,65.5,0.75,0.0,6.0,2.0,74.25,21.75,0.7734375,True
step-3.7-flash,Step-3.7-Flash,local-3x96-gpu,"One host, 3 × 96 GiB accelerators",gpu1,65536,96.0,65.25,0.5,0.0,4.0,2.0,71.75,24.25,0.7473958333333334,True
step-3.7-flash,Step-3.7-Flash,local-3x96-gpu,"One host, 3 × 96 GiB accelerators",gpu2,65536,96.0,65.25,0.5,0.0,4.0,2.0,71.75,24.25,0.7473958333333334,True
step-3.7-flash,Step-3.7-Flash,local-4x64-gpu,"One host, 4 × 64 GiB accelerators",gpu0,65536,64.0,49.0,0.5,0.0,6.0,2.0,57.5,6.5,0.8984375,True
step-3.7-flash,Step-3.7-Flash,local-4x64-gpu,"One host, 4 × 64 GiB accelerators",gpu1,65536,64.0,49.0,0.5,0.0,4.0,2.0,55.5,8.5,0.8671875,True
step-3.7-flash,Step-3.7-Flash,local-4x64-gpu,"One host, 4 × 64 GiB accelerators",gpu2,65536,64.0,49.0,0.5,0.0,4.0,2.0,55.5,8.5,0.8671875,True
step-3.7-flash,Step-3.7-Flash,local-4x64-gpu,"One host, 4 × 64 GiB accelerators",gpu3,65536,64.0,49.0,0.25,0.0,4.0,2.0,55.25,8.75,0.86328125,True
step-3.7-flash,Step-3.7-Flash,uma-256-single,Single 256 GiB unified-memory host,host,131072,256.0,196.0,3.5,12.0,8.0,4.0,223.5,32.5,0.873046875,True
step-3.7-flash,Step-3.7-Flash,rpc-2x128-uma,Two 128 GiB UMA RPC nodes,coordinator,131072,128.0,98.0,1.75,10.0,6.0,4.0,119.75,8.25,0.935546875,True
step-3.7-flash,Step-3.7-Flash,rpc-2x128-uma,Two 128 GiB UMA RPC nodes,worker,131072,128.0,98.0,1.75,8.0,6.0,4.0,117.75,10.25,0.919921875,True
step-3.7-flash,Step-3.7-Flash,local-3x96-gpu,"One host, 3 × 96 GiB accelerators",gpu0,131072,96.0,65.5,1.25,0.0,6.0,2.0,74.75,21.25,0.7786458333333334,True
step-3.7-flash,Step-3.7-Flash,local-3x96-gpu,"One host, 3 × 96 GiB accelerators",gpu1,131072,96.0,65.25,1.25,0.0,4.0,2.0,72.5,23.5,0.7552083333333334,True
step-3.7-flash,Step-3.7-Flash,local-3x96-gpu,"One host, 3 × 96 GiB accelerators",gpu2,131072,96.0,65.25,1.0,0.0,4.0,2.0,72.25,23.75,0.7526041666666666,True
step-3.7-flash,Step-3.7-Flash,local-4x64-gpu,"One host, 4 × 64 GiB accelerators",gpu0,131072,64.0,49.0,1.0,0.0,6.0,2.0,58.0,6.0,0.90625,True
step-3.7-flash,Step-3.7-Flash,local-4x64-gpu,"One host, 4 × 64 GiB accelerators",gpu1,131072,64.0,49.0,1.0,0.0,4.0,2.0,56.0,8.0,0.875,True
step-3.7-flash,Step-3.7-Flash,local-4x64-gpu,"One host, 4 × 64 GiB accelerators",gpu2,131072,64.0,49.0,0.75,0.0,4.0,2.0,55.75,8.25,0.87109375,True
step-3.7-flash,Step-3.7-Flash,local-4x64-gpu,"One host, 4 × 64 GiB accelerators",gpu3,131072,64.0,49.0,0.75,0.0,4.0,2.0,55.75,8.25,0.87109375,True
step-3.7-flash,Step-3.7-Flash,uma-256-single,Single 256 GiB unified-memory host,host,262144,256.0,196.0,6.5,12.0,8.0,4.0,226.5,29.5,0.884765625,True
step-3.7-flash,Step-3.7-Flash,rpc-2x128-uma,Two 128 GiB UMA RPC nodes,coordinator,262144,128.0,98.0,3.25,10.0,6.0,4.0,121.25,6.75,0.947265625,True
step-3.7-flash,Step-3.7-Flash,rpc-2x128-uma,Two 128 GiB UMA RPC nodes,worker,262144,128.0,98.0,3.25,8.0,6.0,4.0,119.25,8.75,0.931640625,True
step-3.7-flash,Step-3.7-Flash,local-3x96-gpu,"One host, 3 × 96 GiB accelerators",gpu0,262144,96.0,65.5,2.25,0.0,6.0,2.0,75.75,20.25,0.7890625,True
step-3.7-flash,Step-3.7-Flash,local-3x96-gpu,"One host, 3 × 96 GiB accelerators",gpu1,262144,96.0,65.25,2.25,0.0,4.0,2.0,73.5,22.5,0.765625,True
step-3.7-flash,Step-3.7-Flash,local-3x96-gpu,"One host, 3 × 96 GiB accelerators",gpu2,262144,96.0,65.25,2.0,0.0,4.0,2.0,73.25,22.75,0.7630208333333334,True
step-3.7-flash,Step-3.7-Flash,local-4x64-gpu,"One host, 4 × 64 GiB accelerators",gpu0,262144,64.0,49.0,1.75,0.0,6.0,2.0,58.75,5.25,0.91796875,True
step-3.7-flash,Step-3.7-Flash,local-4x64-gpu,"One host, 4 × 64 GiB accelerators",gpu1,262144,64.0,49.0,1.75,0.0,4.0,2.0,56.75,7.25,0.88671875,True
step-3.7-flash,Step-3.7-Flash,local-4x64-gpu,"One host, 4 × 64 GiB accelerators",gpu2,262144,64.0,49.0,1.5,0.0,4.0,2.0,56.5,7.5,0.8828125,True
step-3.7-flash,Step-3.7-Flash,local-4x64-gpu,"One host, 4 × 64 GiB accelerators",gpu3,262144,64.0,49.0,1.5,0.0,4.0,2.0,56.5,7.5,0.8828125,True
mimo-v2-flash,MiMo-V2-Flash,uma-256-single,Single 256 GiB unified-memory host,host,32768,256.0,206.0,0.5,12.0,8.0,4.0,230.5,25.5,0.900390625,True
mimo-v2-flash,MiMo-V2-Flash,rpc-2x128-uma,Two 128 GiB UMA RPC nodes,coordinator,32768,128.0,103.0,0.25,10.0,6.0,4.0,123.25,4.75,0.962890625,True
mimo-v2-flash,MiMo-V2-Flash,rpc-2x128-uma,Two 128 GiB UMA RPC nodes,worker,32768,128.0,103.0,0.25,8.0,6.0,4.0,121.25,6.75,0.947265625,True
mimo-v2-flash,MiMo-V2-Flash,local-3x96-gpu,"One host, 3 × 96 GiB accelerators",gpu0,32768,96.0,68.75,0.25,0.0,6.0,2.0,77.0,19.0,0.8020833333333334,True
mimo-v2-flash,MiMo-V2-Flash,local-3x96-gpu,"One host, 3 × 96 GiB accelerators",gpu1,32768,96.0,68.75,0.25,0.0,4.0,2.0,75.0,21.0,0.78125,True
mimo-v2-flash,MiMo-V2-Flash,local-3x96-gpu,"One host, 3 × 96 GiB accelerators",gpu2,32768,96.0,68.5,0.0,0.0,4.0,2.0,74.5,21.5,0.7760416666666666,True
mimo-v2-flash,MiMo-V2-Flash,local-4x64-gpu,"One host, 4 × 64 GiB accelerators",gpu0,32768,64.0,51.5,0.25,0.0,6.0,2.0,59.75,4.25,0.93359375,True
mimo-v2-flash,MiMo-V2-Flash,local-4x64-gpu,"One host, 4 × 64 GiB accelerators",gpu1,32768,64.0,51.5,0.25,0.0,4.0,2.0,57.75,6.25,0.90234375,True
mimo-v2-flash,MiMo-V2-Flash,local-4x64-gpu,"One host, 4 × 64 GiB accelerators",gpu2,32768,64.0,51.5,0.0,0.0,4.0,2.0,57.5,6.5,0.8984375,True
mimo-v2-flash,MiMo-V2-Flash,local-4x64-gpu,"One host, 4 × 64 GiB accelerators",gpu3,32768,64.0,51.5,0.0,0.0,4.0,2.0,57.5,6.5,0.8984375,True
mimo-v2-flash,MiMo-V2-Flash,uma-256-single,Single 256 GiB unified-memory host,host,65536,256.0,206.0,1.0,12.0,8.0,4.0,231.0,25.0,0.90234375,True
mimo-v2-flash,MiMo-V2-Flash,rpc-2x128-uma,Two 128 GiB UMA RPC nodes,coordinator,65536,128.0,103.0,0.5,10.0,6.0,4.0,123.5,4.5,0.96484375,True
mimo-v2-flash,MiMo-V2-Flash,rpc-2x128-uma,Two 128 GiB UMA RPC nodes,worker,65536,128.0,103.0,0.5,8.0,6.0,4.0,121.5,6.5,0.94921875,True
mimo-v2-flash,MiMo-V2-Flash,local-3x96-gpu,"One host, 3 × 96 GiB accelerators",gpu0,65536,96.0,68.75,0.5,0.0,6.0,2.0,77.25,18.75,0.8046875,True
mimo-v2-flash,MiMo-V2-Flash,local-3x96-gpu,"One host, 3 × 96 GiB accelerators",gpu1,65536,96.0,68.75,0.25,0.0,4.0,2.0,75.0,21.0,0.78125,True
mimo-v2-flash,MiMo-V2-Flash,local-3x96-gpu,"One host, 3 × 96 GiB accelerators",gpu2,65536,96.0,68.5,0.25,0.0,4.0,2.0,74.75,21.25,0.7786458333333334,True
mimo-v2-flash,MiMo-V2-Flash,local-4x64-gpu,"One host, 4 × 64 GiB accelerators",gpu0,65536,64.0,51.5,0.25,0.0,6.0,2.0,59.75,4.25,0.93359375,True
mimo-v2-flash,MiMo-V2-Flash,local-4x64-gpu,"One host, 4 × 64 GiB accelerators",gpu1,65536,64.0,51.5,0.25,0.0,4.0,2.0,57.75,6.25,0.90234375,True
mimo-v2-flash,MiMo-V2-Flash,local-4x64-gpu,"One host, 4 × 64 GiB accelerators",gpu2,65536,64.0,51.5,0.25,0.0,4.0,2.0,57.75,6.25,0.90234375,True
mimo-v2-flash,MiMo-V2-Flash,local-4x64-gpu,"One host, 4 × 64 GiB accelerators",gpu3,65536,64.0,51.5,0.25,0.0,4.0,2.0,57.75,6.25,0.90234375,True
mimo-v2-flash,MiMo-V2-Flash,uma-256-single,Single 256 GiB unified-memory host,host,131072,256.0,206.0,1.75,12.0,8.0,4.0,231.75,24.25,0.9052734375,True
mimo-v2-flash,MiMo-V2-Flash,rpc-2x128-uma,Two 128 GiB UMA RPC nodes,coordinator,131072,128.0,103.0,1.0,10.0,6.0,4.0,124.0,4.0,0.96875,True
mimo-v2-flash,MiMo-V2-Flash,rpc-2x128-uma,Two 128 GiB UMA RPC nodes,worker,131072,128.0,103.0,0.75,8.0,6.0,4.0,121.75,6.25,0.951171875,True
mimo-v2-flash,MiMo-V2-Flash,local-3x96-gpu,"One host, 3 × 96 GiB accelerators",gpu0,131072,96.0,68.75,0.75,0.0,6.0,2.0,77.5,18.5,0.8072916666666666,True
mimo-v2-flash,MiMo-V2-Flash,local-3x96-gpu,"One host, 3 × 96 GiB accelerators",gpu1,131072,96.0,68.75,0.5,0.0,4.0,2.0,75.25,20.75,0.7838541666666666,True
mimo-v2-flash,MiMo-V2-Flash,local-3x96-gpu,"One host, 3 × 96 GiB accelerators",gpu2,131072,96.0,68.5,0.5,0.0,4.0,2.0,75.0,21.0,0.78125,True
mimo-v2-flash,MiMo-V2-Flash,local-4x64-gpu,"One host, 4 × 64 GiB accelerators",gpu0,131072,64.0,51.5,0.5,0.0,6.0,2.0,60.0,4.0,0.9375,True
mimo-v2-flash,MiMo-V2-Flash,local-4x64-gpu,"One host, 4 × 64 GiB accelerators",gpu1,131072,64.0,51.5,0.5,0.0,4.0,2.0,58.0,6.0,0.90625,True
mimo-v2-flash,MiMo-V2-Flash,local-4x64-gpu,"One host, 4 × 64 GiB accelerators",gpu2,131072,64.0,51.5,0.5,0.0,4.0,2.0,58.0,6.0,0.90625,True
mimo-v2-flash,MiMo-V2-Flash,local-4x64-gpu,"One host, 4 × 64 GiB accelerators",gpu3,131072,64.0,51.5,0.25,0.0,4.0,2.0,57.75,6.25,0.90234375,True
mimo-v2-flash,MiMo-V2-Flash,uma-256-single,Single 256 GiB unified-memory host,host,262144,256.0,206.0,3.25,12.0,8.0,4.0,233.25,22.75,0.9111328125,True
mimo-v2-flash,MiMo-V2-Flash,rpc-2x128-uma,Two 128 GiB UMA RPC nodes,coordinator,262144,128.0,103.0,1.75,10.0,6.0,4.0,124.75,3.25,0.974609375,True
mimo-v2-flash,MiMo-V2-Flash,rpc-2x128-uma,Two 128 GiB UMA RPC nodes,worker,262144,128.0,103.0,1.5,8.0,6.0,4.0,122.5,5.5,0.95703125,True
mimo-v2-flash,MiMo-V2-Flash,local-3x96-gpu,"One host, 3 × 96 GiB accelerators",gpu0,262144,96.0,68.75,1.25,0.0,6.0,2.0,78.0,18.0,0.8125,True
mimo-v2-flash,MiMo-V2-Flash,local-3x96-gpu,"One host, 3 × 96 GiB accelerators",gpu1,262144,96.0,68.75,1.0,0.0,4.0,2.0,75.75,20.25,0.7890625,True
mimo-v2-flash,MiMo-V2-Flash,local-3x96-gpu,"One host, 3 × 96 GiB accelerators",gpu2,262144,96.0,68.5,1.0,0.0,4.0,2.0,75.5,20.5,0.7864583333333334,True
mimo-v2-flash,MiMo-V2-Flash,local-4x64-gpu,"One host, 4 × 64 GiB accelerators",gpu0,262144,64.0,51.5,1.0,0.0,6.0,2.0,60.5,3.5,0.9453125,True
mimo-v2-flash,MiMo-V2-Flash,local-4x64-gpu,"One host, 4 × 64 GiB accelerators",gpu1,262144,64.0,51.5,0.75,0.0,4.0,2.0,58.25,5.75,0.91015625,True
mimo-v2-flash,MiMo-V2-Flash,local-4x64-gpu,"One host, 4 × 64 GiB accelerators",gpu2,262144,64.0,51.5,0.75,0.0,4.0,2.0,58.25,5.75,0.91015625,True
mimo-v2-flash,MiMo-V2-Flash,local-4x64-gpu,"One host, 4 × 64 GiB accelerators",gpu3,262144,64.0,51.5,0.75,0.0,4.0,2.0,58.25,5.75,0.91015625,True
glm-4.7,GLM-4.7,uma-256-single,Single 256 GiB unified-memory host,host,32768,256.0,205.0,6.25,12.0,8.0,4.0,235.25,20.75,0.9189453125,True
glm-4.7,GLM-4.7,rpc-2x128-uma,Two 128 GiB UMA RPC nodes,coordinator,32768,128.0,102.5,3.25,10.0,6.0,4.0,125.75,2.25,0.982421875,True
glm-4.7,GLM-4.7,rpc-2x128-uma,Two 128 GiB UMA RPC nodes,worker,32768,128.0,102.5,3.0,8.0,6.0,4.0,123.5,4.5,0.96484375,True
glm-4.7,GLM-4.7,local-3x96-gpu,"One host, 3 × 96 GiB accelerators",gpu0,32768,96.0,68.5,2.25,0.0,6.0,2.0,78.75,17.25,0.8203125,True
glm-4.7,GLM-4.7,local-3x96-gpu,"One host, 3 × 96 GiB accelerators",gpu1,32768,96.0,68.25,2.0,0.0,4.0,2.0,76.25,19.75,0.7942708333333334,True
glm-4.7,GLM-4.7,local-3x96-gpu,"One host, 3 × 96 GiB accelerators",gpu2,32768,96.0,68.25,2.0,0.0,4.0,2.0,76.25,19.75,0.7942708333333334,True
glm-4.7,GLM-4.7,local-4x64-gpu,"One host, 4 × 64 GiB accelerators",gpu0,32768,64.0,51.25,1.75,0.0,6.0,2.0,61.0,3.0,0.953125,True
glm-4.7,GLM-4.7,local-4x64-gpu,"One host, 4 × 64 GiB accelerators",gpu1,32768,64.0,51.25,1.5,0.0,4.0,2.0,58.75,5.25,0.91796875,True
glm-4.7,GLM-4.7,local-4x64-gpu,"One host, 4 × 64 GiB accelerators",gpu2,32768,64.0,51.25,1.5,0.0,4.0,2.0,58.75,5.25,0.91796875,True
glm-4.7,GLM-4.7,local-4x64-gpu,"One host, 4 × 64 GiB accelerators",gpu3,32768,64.0,51.25,1.5,0.0,4.0,2.0,58.75,5.25,0.91796875,True
glm-4.7,GLM-4.7,uma-256-single,Single 256 GiB unified-memory host,host,65536,256.0,205.0,12.25,12.0,8.0,4.0,241.25,14.75,0.9423828125,True
glm-4.7,GLM-4.7,rpc-2x128-uma,Two 128 GiB UMA RPC nodes,coordinator,65536,128.0,102.5,6.25,10.0,6.0,4.0,128.75,-0.75,1.005859375,False
glm-4.7,GLM-4.7,rpc-2x128-uma,Two 128 GiB UMA RPC nodes,worker,65536,128.0,102.5,6.0,8.0,6.0,4.0,126.5,1.5,0.98828125,True
glm-4.7,GLM-4.7,local-3x96-gpu,"One host, 3 × 96 GiB accelerators",gpu0,65536,96.0,68.5,4.25,0.0,6.0,2.0,80.75,15.25,0.8411458333333334,True
glm-4.7,GLM-4.7,local-3x96-gpu,"One host, 3 × 96 GiB accelerators",gpu1,65536,96.0,68.25,4.0,0.0,4.0,2.0,78.25,17.75,0.8151041666666666,True
glm-4.7,GLM-4.7,local-3x96-gpu,"One host, 3 × 96 GiB accelerators",gpu2,65536,96.0,68.25,4.0,0.0,4.0,2.0,78.25,17.75,0.8151041666666666,True
